,roles,companies,locations,experience,skills
0,"Data Scientist, Marketing",Coursera,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",4-6 Yrs,Data analysisdata scienceTroubleshootingAnalyticsMonitoringSQLPythonSalesforce
1,Hexaware_ Looking Immediate joiners -Data Scientist NLP/GenAI_PanIndia,Hexaware Technologies,"Hybrid - Navi Mumbai, Pune, Chennai",4-9 Yrs,GenAILLMData ScientistTransformersBertMachine LearningDeep LearningData Science
2,Data Scientist-Senior Associate - P&T Labs,PwC Service Delivery Center,"Mumbai, Hyderabad, Bengaluru",4-6 Yrs,AutomationGCPAnalyticalProcess improvementMachine learningSignal processingData miningSQL
3,Data Scientist - CROCI Investment Strategy,Deutsche Bank,Mumbai,3-5 Yrs,Python programmingC#MatplotlibJavaInvestment StrategyVBAportfolio returns analysisData Scientist
4,Adobe Analytics,PwC Service Delivery Center,Bangalore Rural,2-4 Yrs,Adobe LaunchJavascriptAepLaunchAdobeAdobe AnalyticsAnalytics
5,Data Scientist,Ericsson,Bengaluru,0-3 Yrs,Data analysisData validationCodingNeural networksMachine learningData qualityForecastingSQL
6,Sr. Data Scientist,Visa,Bengaluru,0-3 Yrs,Computer scienceOperations researchBusiness analyticsAnalyticalPredictive modelingBusiness solutionsFinancial servicesProduct marketing
7,Data Scientist,Essenware,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",2-5 Yrs,Project developmentMatrixProduction supportComplianceKPIMentorsoftware qualityTechnical documentation
8,Data Scientist,Essenware,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",2-5 Yrs,time series analysisbayesianpythondata analysisnatural language processingprobabilisticlinear regressionmarket mix modelling
9,Data Scientist,Tech Mahindra,"Hybrid - Hyderabad, Pune, Bengaluru",6-10 Yrs,ML EngineerDeep learningGenerarative AIGenAIMLopsML OpsNatural Language ProcessingCloud
10,Data Science Engineer,Futran Tech Solutions,"Hybrid - Noida, Pune, Bangalore Rural, Chennai, Mumbai (All Areas)",6-9 Yrs,Data ScienceGen AINLPMachine LearningPythonScienceMachineArtificial Intelligence
11,Data Scientist,Tata Nexarc,"Mumbai, Pune",3-6 Yrs,data scienceAnalyticalMachine learningdata visualizationBusiness intelligenceData miningAnalyticsSQL
12,Senior Data Scientist,Bahwan CyberTek,"Hybrid - Pune, Chennai, Bengaluru",5-10 Yrs,Machine LearningPythonSQLGen AITransformationEDAData CleansingData Mining
13,Data Scientist - Senior Associate,PwC Service Delivery Center,"Mumbai, Hyderabad, Bengaluru",3-8 Yrs,deep learningData analysisLeadership developmentNoSQLProduct innovationMachine learningAgileCosmos
14,Data Scientist,Orange Business Services,Mumbai,4-5 Yrs,Cluster analysisAutomationOperations researchAnalyticalMachine learningNatural language processingdelivery operationsSQL
15,Lead Data Scientist,Baker Hughes,Bengaluru,9-14 Yrs,Data analysisArtificial IntelligenceSignal processingAgileManager TechnologyIndustrial engineeringdigital strategyAnalytics
16,Data Scientist,Siemens,Bengaluru,2-3 Yrs,BackendGITCodingMachine learningHealthcareData qualityMonitoringSQL
17,"SENIOR, DATA SCIENTIST (Computer Vision)",Walmart,Bengaluru,6-9 Yrs,Computer visionAnalyticalMachine learningSupply chain operationsSEZManager Quality ControlInformation technologyMonitoring
18,Senior Data Scientist,Walmart,Bengaluru,10-20 Yrs,Supply chainData analysisdata scienceNetworkingCodingAnalyticalForecastingAnalytics
19,Data Scientist,Volvo Financial Services,Bengaluru,3-6 Yrs,AutomationC++PowertrainMechatronicsSimulationConstruction equipmentSimulinkMATLAB
20,"Data Scientist, Marketing",Coursera,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",4-6 Yrs,Data analysisdata scienceTroubleshootingAnalyticsMonitoringSQLPythonSalesforce
21,Hexaware_ Looking Immediate joiners -Data Scientist NLP/GenAI_PanIndia,Hexaware Technologies,"Hybrid - Navi Mumbai, Pune, Chennai",4-9 Yrs,GenAILLMData ScientistTransformersBertMachine LearningDeep LearningData Science
22,Data Scientist-Senior Associate - P&T Labs,PwC Service Delivery Center,"Mumbai, Hyderabad, Bengaluru",4-6 Yrs,AutomationGCPAnalyticalProcess improvementMachine learningSignal processingData miningSQL
23,Data Scientist - CROCI Investment Strategy,Deutsche Bank,Mumbai,3-5 Yrs,Python programmingC#MatplotlibJavaInvestment StrategyVBAportfolio returns analysisData Scientist
24,Adobe Analytics,PwC Service Delivery Center,Bangalore Rural,2-4 Yrs,Adobe LaunchJavascriptAepLaunchAdobeAdobe AnalyticsAnalytics
25,Data Scientist,Ericsson,Bengaluru,0-3 Yrs,Data analysisData validationCodingNeural networksMachine learningData qualityForecastingSQL
26,Sr. Data Scientist,Visa,Bengaluru,0-3 Yrs,Computer scienceOperations researchBusiness analyticsAnalyticalPredictive modelingBusiness solutionsFinancial servicesProduct marketing
27,Data Scientist,Essenware,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",2-5 Yrs,Project developmentMatrixProduction supportComplianceKPIMentorsoftware qualityTechnical documentation
28,Data Scientist,Essenware,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",2-5 Yrs,time series analysisbayesianpythondata analysisnatural language processingprobabilisticlinear regressionmarket mix modelling
29,Data Scientist,Tech Mahindra,"Hybrid - Hyderabad, Pune, Bengaluru",6-10 Yrs,ML EngineerDeep learningGenerarative AIGenAIMLopsML OpsNatural Language ProcessingCloud
30,Data Science Engineer,Futran Tech Solutions,"Hybrid - Noida, Pune, Bangalore Rural, Chennai, Mumbai (All Areas)",6-9 Yrs,Data ScienceGen AINLPMachine LearningPythonScienceMachineArtificial Intelligence
31,Data Scientist,Tata Nexarc,"Mumbai, Pune",3-6 Yrs,data scienceAnalyticalMachine learningdata visualizationBusiness intelligenceData miningAnalyticsSQL
32,Senior Data Scientist,Bahwan CyberTek,"Hybrid - Pune, Chennai, Bengaluru",5-10 Yrs,Machine LearningPythonSQLGen AITransformationEDAData CleansingData Mining
33,Data Scientist - Senior Associate,PwC Service Delivery Center,"Mumbai, Hyderabad, Bengaluru",3-8 Yrs,deep learningData analysisLeadership developmentNoSQLProduct innovationMachine learningAgileCosmos
34,Data Scientist,Orange Business Services,Mumbai,4-5 Yrs,Cluster analysisAutomationOperations researchAnalyticalMachine learningNatural language processingdelivery operationsSQL
35,Lead Data Scientist,Baker Hughes,Bengaluru,9-14 Yrs,Data analysisArtificial IntelligenceSignal processingAgileManager TechnologyIndustrial engineeringdigital strategyAnalytics
36,Data Scientist,Siemens,Bengaluru,2-3 Yrs,BackendGITCodingMachine learningHealthcareData qualityMonitoringSQL
37,"SENIOR, DATA SCIENTIST (Computer Vision)",Walmart,Bengaluru,6-9 Yrs,Computer visionAnalyticalMachine learningSupply chain operationsSEZManager Quality ControlInformation technologyMonitoring
38,Senior Data Scientist,Walmart,Bengaluru,10-20 Yrs,Supply chainData analysisdata scienceNetworkingCodingAnalyticalForecastingAnalytics
39,Data Scientist,Volvo Financial Services,Bengaluru,3-6 Yrs,AutomationC++PowertrainMechatronicsSimulationConstruction equipmentSimulinkMATLAB
40,Senior Data Scientist,Siemens,Bengaluru,3-8 Yrs,Business servicesOperations researchSAPAnalyticalMachine learningBusiness process managementOracleBioinformatics
41,Urgent opportunity of Data Scientist,Airtel,"Gurugram, Bengaluru",4-7 Yrs,Speech Recognitionconversational AINatural Language Processingvoice-botDeep LearningSpeechDataProcess
42,Staff Data Scientist,Walmart,Bengaluru,5-8 Yrs,Computer scienceComputer visionPrototypeNetworkingNeural networksConsultingMachine learningContinuous improvement
43,Staff Data Scientist,Walmart,Bengaluru,10-12 Yrs,Computer scienceComputer visionPrototypeNetworkingNeural networksConsultingMachine learningContinuous improvement
44,Senior Data Scientist,Walmart,Bengaluru,6-8 Yrs,Computer scienceComputer visionPrototypeNetworkingNeural networksMachine learningContinuous improvementInformation technology
45,Principal Data Scientist,Walmart,Bengaluru,10-12 Yrs,Computer scienceComputer visionPrototypeNetworkingConsultingMachine learningData qualityContinuous improvement
46,Sr. Data Scientist - ML Ops,Visa,Bengaluru,4-8 Yrs,Preditive modelingData analysisLinuxData ingFinanial serviesContinuous improvementMonitoringLogisti regression
47,Manager / Principal Specialist Data Scientist,"Wood Group Pratt & Whitney Industrial Turbine Services, LLC",Bengaluru,11-17 Yrs,hivegas turbinepythonstatistical techniquespower biengineeringcloud deploymentmachine learning
48,Sr . Data Scientist / Manager,Novitas Infotech,"Noida, Gurugram, Bengaluru",7-10 Yrs,customer analyticsSocial mediaAgileCustomer serviceData miningAnalyticsSQLPython
49,Data Scientist,Novitas Infotech,"Noida, Gurugram, Bengaluru",3-7 Yrs,customer analyticsSocial mediaAgileCustomer serviceData miningAnalyticsSQLPython
50,Data Scientist,Nestle,Bengaluru,2-4 Yrs,algorithmspythonmodelingdata analysisdata analyticsnatural language processingpredictivemachine learning
51,Senior Data Scientist,Capco,Bengaluru,6-11 Yrs,Relationship managementData analysisBusiness analysisMachine learningAgileAsset managementAnalyticsFinancial services
52,Staff data scientist,Walmart,Bengaluru,9-10 Yrs,deep learningdata scienceWeb analyticsConsultingMachine learningSEZResearchbig data
53,SAS Data Scientist,Lericon Informatics,"Mumbai, Bengaluru, Delhi / NCR",2-6 Yrs,data miningVisual Analyticsdata analysisadvanced statisticsSASData ScientistR ProgrammingSPSS
54,Manager - Infotech (Data Scientist),Lupin,Mumbai,6-11 Yrs,Pilotadvanced analyticsPrototypeSimulationBusiness designMachine learningmodel developmentOperations
55,Manager - Infotech (Data Scientist),Lupin,Mumbai,5-10 Yrs,Pilotadvanced analyticsPrototypeSimulationMachine learningmodel developmentOperationsManagement
56,Manager - Infotech (Data Scientist),Lupin,Mumbai,5-10 Yrs,advanced analyticsdeep learningPrototypeSimulationMachine learningAgileOperationsAnalytics
57,Lead Data Science,IKS HEALTH,Remote,6-11 Yrs,PythonTensorflowCnnnlprnnLstmNatural Language ProcessingMachine Learning
58,Assistant CMI Manager - Data Scientist,Hindustan Unilever (HUL),Mumbai,2-6 Yrs,data scienceCodingMachine learningdata visualizationDigital marketingEconometricsOpen sourceAnalytics
59,Principal AI Scientist,Pristine Infotech,"Mumbai, Chennai",3-7 Yrs,MiningSupply chainComputer scienceLogistic regressionRFBusiness analysisBusiness planningResearch
60,Manager - Senior Data Scientist,Visa,Mumbai,5-10 Yrs,data scienceCodingConsultingManager Quality ControlRisk managementPortfolio managementAnalyticsSQL
61,A&A -Sr. Data Scientist - AI POD,Deloitte,Bengaluru,3-7 Yrs,Data ScienceAzure MLNLPGitHubPandasJiraAzure DevOpsNumPy
62,Data Scientist (Analytics),Philips,Bengaluru,4-8 Yrs,Data analysisdata scienceBusiness analyticsAnalyticalDiversity and InclusionMachine learningHealthcareOperations
63,Data Scientist - AI / ML,Philips,Bengaluru,4-8 Yrs,EMIComputer visionC++Image processingDiagnosticsHealthcareEMCMATLAB
64,Data Scientist,HP India,Bengaluru,4-8 Yrs,Data Sciencearimadeep learningpythonrregression analysispower birandom forest
65,Data Scientist II,Honeywell,Bengaluru,4-6 Yrs,SQL queriestableauAnalyticalpower biData analyticsAnalyst IIScientist IIPython
66,"Lead, Data Scientist",Salesforce,Hyderabad,6-12 Yrs,Product managementSANAutomationData analysisMachine learningAnalyticsSQLCRM
67,Data Science professional,HP India,Bengaluru,6-11 Yrs,Pythonairflowworkflow orchestrationpysparkmicrosoft azurejupyter notebookdata architecturerelational databases
68,Lead Data Scientist,HP India,Bengaluru,7-11 Yrs,PythonMS CopilotRoperational analysisChatGptbig data analyticsSQL DatabaseAnalytics
69,Data Scientist - Finance,HP India,Bengaluru,7-10 Yrs,Data analyticsJavaC++Data EngineeringData miningForecastingStatistical modelingData Scientist
70,Data Scientist,HP India,Bengaluru,6-8 Yrs,Data Engineeringsoftware developmentembedded systemssystems engineeringsoftware engineeringsoftware product managementETLSoftware
71,Data Scientist,Iifl Samasta,Bengaluru,8-10 Yrs,Data SciencePredictive ModelingCorrelationLogistic RegressionAnalysisStatistical ModelingStatisticsPython
72,Associate Data Scientist,Orange Business Services,Gurugram,1-5 Yrs,Analytical skillsLogistic regressionInterpersonal skillsTime series analysisTime managementMachine learningdelivery operationsForecasting
73,Data Scientist,Ford,Chennai,3-8 Yrs,matlabalgorithmspythondata miningneural networkspresentation skillsproblem solvingrandom forest
74,Senior Engineer - Data Scientist,Renault,Chennai,9-10 Yrs,Usagedata scienceArchitectureResourcingMachine learningInfrastructureCompetency developmentBudgeting
75,Senior Data scientist,Renault,Chennai,8-10 Yrs,UsageArchitectureManager TechnologyCompetency developmentMentorManagementAnalyticsMonitoring
76,Data Scientist,Ltimindtree,"Hybrid - Pune, Bangalore Rural, Mumbai (All Areas)",4-9 Yrs,MLTensorflowPytorchNatural Language ProcessingCloudAIMachine LearningDeep Learning
77,Data Scientist,Crisil,"Mumbai, Pune",2-4 Yrs,Text miningComputer scienceComputer visionData analysisdata scienceNeural networksArtificial IntelligenceMachine learning
78,Data Scientist,Response Informatics,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",0-5 Yrs,deep learningTDDDeploymentNatural language processingtest driven developmentMongoDBSQLPython
79,"Data Scientist (Traditional ML -Predictive Modeling, Forecasting)",Wipro,"Hybrid - Pune, Chennai, Bengaluru",6-11 Yrs,Data SciencePredictive ModelingMachine LearningForecastingMlModelingScienceMachine
80,Pricing Transformation - Computational Scientist,IWG Plc,Pune,4-9 Yrs,Computer scienceAnalytical skillsEmployee retentionSimulationAction planAgilemodel developmentRevenue management
81,Data Scientist,Siemens,Pune,6-9 Yrs,data scienceMachine learningSiemensHTMLData miningBusiness intelligenceOperationsAnalytics
82,Urgent Opportunity For Data scientist in Gurgaon / Mumbai,Orange Business Services,"Hybrid - Gurugram, Mumbai (All Areas)",3-8 Yrs,Artificial IntelligenceAimlMachine LearningDataIntelligenceMachine
83,Data Scientist (Credit Risk),PayU,"Mumbai, Gurugram",2-6 Yrs,Cloud computingdata scienceBfsiUnderwritingMachine learningStakeholder managementFinancial servicesSQL
84,Generative AI Data Scientist,Genpact,"Hyderabad, Gurugram, Bengaluru",8-13 Yrs,Generative AILLMPredictive ModelingNatural Language ProcessingComputer VisionMachine LearningModelingVision
85,Data Scientist-Immediate Joiner-L1(HAckerrank)-please check your email,Altimetrik,"Hybrid - Hyderabad, Chennai, Bengaluru",5-8 Yrs,pythonNLPgenerative AIMachine LearningSQLEmailNatural language processingCheck
86,Data Scientist II,Meredith,Bengaluru,5-10 Yrs,data scienceGCPMachine learningProgrammingMathematicsScientist IIScientist 1Predictive analytics
87,Bosch_Asst Manager / Sr. Engineer - Data Scientist Prognostics,Bosch Global Software Technologies,Bengaluru,3-5 Yrs,PowerBIData ScientistTableauPythonTensorflowMatplotlibPyTorchMachine Learning
88,Data Scientist III,Walmart,Bengaluru,2-7 Yrs,Computer visionPrototypeNetworkingNeural networksMachine learningContinuous improvementInformation technologyMonitoring
89,Senior Data Scientist / AI Specialist,Juniper Networks,Bengaluru,8-10 Yrs,Networkingdata sciencesparkSCALAOpen sourceAnalyticsBrand buildingSQL
90,Software Engineer 4,Juniper Networks,Bengaluru,7-11 Yrs,Data analysisNetworkingNeural networksAnalyticalMachine learningData processingApplication developmentdata visualization
91,Data Scientist,Oracle,"Hybrid - Bengaluru, Karnataka",5-10 Yrs,PythonSQLDockerKubernetesData
92,Senior Data Scientist - Marketplace,Gojek,Bengaluru,5-11 Yrs,Machine learningDistribution systemFinancial servicesSQLPythonRecruitmentLogisticsTechnical documentation
93,Data Scientist,Orange Business Services,Gurugram,3-5 Yrs,AutomationFront endMachine learningJavascriptData processingHTMLApplication developmentCustomer support
94,Senior Data Scientist - Marketplace,Tokopedia,Bengaluru,5-10 Yrs,Machine learningDistribution systemFinancial servicesSQLPythonRecruitmentLogisticsTechnical documentation
95,Data Scientist 2,Optum,Noida,10-12 Yrs,Data ScienceJavadeep learningNLPPower BImachine learningPythonSQL
96,Data Scientist 2,Optum,Noida,10-20 Yrs,Career developmentData analysisCodingMachine learningAgile methodologytest driven developmentSQLTechnical documentation
97,Data Scientist,Conneqt Digital,Bengaluru,5-9 Yrs,Solution architecturedeep learningSASAnalyticalArtificial IntelligenceMachine learningdata visualizationSQL
98,Data Scientist,Ericsson,Noida,3-7 Yrs,Data managementArchitectureCodingArtificial IntelligenceMachine learningBusiness intelligenceOpen sourceAnalytics
99,Data Scientist,Coders Brain Pvt Ltd,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",5-10 Yrs,Hypothesis TestingPredictive modelingPredictiveHypothesisDataModelingSoftware testing
100,Data Scientist Professional,Coders Brain Pvt Ltd,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",5-9 Yrs,deep learningPayrollData managementNeural networksArtificial IntelligenceConsultingMachine learningAWS
